988304,Joeytier,2016-12-10 16:19:00,3990,We are under way!  
988305,Terry,2016-12-10 16:24:00,14456,"dang, your killing me  I mean nice ging"
988306,limeyangler,2016-12-10 16:26:00,5204,"   Hoping for some more warm weather.  Ottawa River, Larry and Quinte were slow to cool and the fish a little funky in the warm bath we had last week.  Should be a couple weeks of prime fishing to be had yet.    THAT IS THE BEST!"
988307,misfish,2016-12-10 16:33:00,29133,No ice for you yet Simon? Your usually the first.  Seen a skim on the bay here this morning along the shore line.
988309,huzzsaba,2016-12-10 16:56:00,884,We are under way!   beautiful fish!
988310,NAW,2016-12-10 17:30:00,4022,
988313,OhioFisherman,2016-12-10 18:31:00,6623,"http://www.cleveland19.com/story/34019228/3-were-air-lifted-to-metrohealth-after-thursday-i-90-crash-officials-say  Winter is off to a wild start here! I-90 east of Cleveland has been a mess since Thursday, and parts of it are closed again today.  I can still see my grass, lake effect snow hasn't reached us... yet!"
988451,AKRISONER,2016-12-12 13:30:00,5558,thata boy joey!  ugh...im 9 days out!
988461,Acountdeleted,2016-12-12 14:49:00,2562,Yes! Beauty!!
988619,NAW,2016-12-14 15:27:00,4022,This is the view from Georgian College.  It's coming along quite nicely!!  And with this cold snap.  Minus double digits over the next several nights...  I wouldn't be surprised if there are a few floater suites out there Saturday morning.  Causing a ruckus in the neighbourhood!
988620,AKRISONER,2016-12-14 15:49:00,5558," This is the view from Georgian College.  It's coming along quite nicely!!  And with this cold snap.  Minus double digits over the next several nights...  I wouldn't be surprised if there are a few floater suites out there Saturday morning.  Causing a ruckus in the neighbourhood!        Not me though. I'll be up north, sitting on a crappie hole!!    hell yessss   I should be fishing this weekend but a prior commitment from months ago is ruining it for me! ughhhhhh Next wednesday cannot come soon enough!"
987803,NAW,2016-12-04 03:40:00,4022,"Ya, this week is looking alright. Going duck hunting one last time next weekend.  Then hopefully ice fishing the weekend after that!  Fingers crossed that we don't get a warm spell."
