917112,manitoubass2,2015-05-26 23:38:00,11391,Pretty cool pic of a sturgeon getting ready to do its thing in the highwaters of rainy river. Pretty good size too id say 5-6ft  
917123,Moosebunk,2015-05-27 00:38:00,3970,Do love those fish.  Gentle giants... except inbetween the hookset and the landing.  Cool shot.
917126,LostAnotherOne,2015-05-27 00:40:00,956,Just throw that hook onto the end of his tail and hold on haha
917130,manitoubass2,2015-05-27 01:02:00,11391,Yeah the power in these fish is obsurd.  Beautiful creatures
917176,can u fish,2015-05-27 10:28:00,326,Cool pic thanks for sharing.
917181,jbailey,2015-05-27 11:38:00,866,"sweet pic, thanks for sharing"
917182,Roy,2015-05-27 11:51:00,13728,Good pic for sure! Thanks.
917197,esoxansteel,2015-05-27 14:11:00,1307,"Natures beauty, love Sturgeon"
917205,manitoubass2,2015-05-27 15:39:00,11391,A few more days and there will be 1000's sitting right there?  Then its go pro time!  Lol i got 2 or 3 years of stugeon spawning vids i still need to edit
917209,fishnsled,2015-05-27 16:20:00,3520,Great shot!  Looking forward to the GoPro footage.
917213,mistaredone,2015-05-27 16:27:00,913,X2
917231,fish_fishburn,2015-05-27 18:43:00,1311,cool
917254,misfish,2015-05-27 21:14:00,29133,Very cool Rick.
917269,Terry,2015-05-27 22:23:00,14456,edit the damn videos  I have been waiting forever to see them  lol very cool fish
917372,lickmyarmpit,2015-05-28 13:05:00,359,Awesome
