864964,cptpronin,2014-07-27 15:16:00,3,"Hi OFC,  Long time angler, forum newbie.  Good to meet you all!  I live in Halton and like to make the best of all the opportunities it offers.  From Lake Ontario to the Conservation areas and streams.  Just me, some waders, or my trusty inflatable.  That's the good life right there!  Like to take a fun, active, cheap, environmental approach to fishing and practice good conservation. A few shots from '14 so far, all from the Halton region.            "
864970,lew,2014-07-27 15:26:00,12766,Good to have you aboard cptpronin
864971,i2cool2fool,2014-07-27 15:26:00,349,Welcome. Nice looking fish there. Tight lines!
864974,Walleye72,2014-07-27 15:39:00,156,Welcome to the board.
864993,Musky or Specks,2014-07-27 16:34:00,2710,Welcome looking forward to future reports
864996,misfish,2014-07-27 16:50:00,29133,Nice mix up there.  Welcome.
865023,limeyangler,2014-07-27 19:36:00,5204,"Welcome to the board cptpronin. I love shore fishing too….look forward to more pics and reports.  Tight lines,   Simon. (aka Limey)"
865025,John,2014-07-27 19:38:00,2956,Welcome aboard....I love shore fishing too...miss the rivers and streams from my youth in the UK. Will have to get back into it..
865029,davey buoy,2014-07-27 19:50:00,5505,"Another river fisherman!,glad you could join us."
865065,aplumma,2014-07-27 22:56:00,6896,Glad to see you here thanks for joining the family.   Art
865085,Tim Mills,2014-07-28 00:24:00,476,Nice multi species intro. Looking forward to your reports.
865166,Will-Fish,2014-07-28 14:44:00,31,Nice catch.
865179,cptpronin,2014-07-28 15:03:00,3,Thanks for the warm welcome everyone!
865187,Roy,2014-07-28 15:11:00,13728,Welcome aboard! Congrats on your year to date!
