731059,Harrison,2012-09-19 13:15:00,2202,"Was thinking Lynx too Roy.  Definitely feline I believe.  If it was a bit further north, I'd say cougar maybe."
731086,fishnsled,2012-09-19 14:52:00,3520,"The bottom print and the right toe seems to have a hole that would be make from a claw. On the upper print it looks like the right claw scraped down and a hole for the next one, tough to say for the next 2. Tough to say but seems to be more similar to a feline.  Wolf, Coyote, and Cougar tracks  Lynx  Cougar"
731097,siwash,2012-09-19 15:07:00,683,"  To clarify, the poop was taken several hundred yards away in a totally different location.  I did not intend to conclude that the poop came from the animal(s) that made the tracks. They were taken on the same day so I lumped them together...  The scat still looks like bear poop to me.. for the poster who said berries should be in the scat, what if berries are not part of the bear's diet in that location?  It appeared to be vegetation (grasses?) as I broke it apart with a stick to see what it had eaten.. It was fairly fresh (maybe several hours?)  The tracks were found along a sandy trail.  This was taken in a county forest neat the town of Baxter.. there's a Christmas tree farm about a mile away...   Are there lynx in Simcoe County?  I heard that there was a cougar(s) sighting recently nearby... by two hikers... they heard more than one animal claimed the animals were ""tracking"" them"
731098,siwash,2012-09-19 15:07:00,683,"  To clarify, the poop was taken several hundred yards away in a totally different location.  I did not intend to conclude that the poop came from the animal(s) that made the tracks. They were taken on the same day so I lumped them together...  The scat still looks like bear poop to me.. for the poster who said berries should be in the scat, what if berries are not part of the bear's diet in that location?  It appeared to be vegetation (grasses?) as I broke it apart with a stick to see what it had eaten.. It was fairly fresh (maybe several hours?)  The tracks were found along a sandy trail.  This was taken in a county forest near the town of Baxter.. there's a Christmas tree farm about a mile away...   Are there lynx in Simcoe County?  I heard that there was a cougar(s) sighting recently nearby... by two hikers... they heard more than one animal claimed the animals were ""tracking"" them"
731099,BillM,2012-09-19 15:11:00,17367,Atlantic.
731103,bassman87,2012-09-19 15:26:00,586,do you have a fascination with crap? based on your dp and this thread lol
731108,siwash,2012-09-19 15:49:00,683,  LOL! Best way to ID animals outside of seeing them! I am always looking out for tracks and crap...
731132,bare foot wader,2012-09-19 17:57:00,1354,"the toe pads are fairly round but without seeing the tracks up close it's tough to call...overall they resemble a cat print, but it does look like there are nail marks above the toe pads and that's throwing me off, they also look fairly small so not likely a cougar but they could be right with a smaller cat...something to establish scale would help next time you find tracks  the tracks looks fairly old...was the area muddy previously or on a steep grade? I've seen cat tracks using their claws climbing an embankment or muddy areas"
731142,jimmer,2012-09-19 18:21:00,2730,I saw a pile of crap like that on a Hoarders show I watched the other night! Could it be?
731158,ehg,2012-09-19 19:22:00,2666," Judging by the pic in your avatar, i think it was deposited by the former cougar who lives in the van down by the river there."
