512058,jbailey,2010-10-15 13:36:00,866,"this seems like the mayoral race in toronto - just bashing the opposition.  oh and the people talking about trash talking - you were doing the same things in your posts lol lay off the trash talking, some teams are 2 games, some 4 - and we're not all sports analysts. Compliment your team, don't bash another.  TB and TOR will be a good game."
512145,jimmer,2010-10-15 19:48:00,2730,"As a Leaf fan, it's just nice to seem them looking like they can compete.  They have good speed and enthusiasm.  There are still a few changes they could make, but I'll take it at this point. Some of the top teams from last year, just don't have their legs yet, so things will definitely get tougher once they round into form."
512157,jjcanoe,2010-10-15 20:23:00,744, one good example is Alexander Steen.......  he played 24 mins for the Blues the other night and he's a forward!  most top line defenceman don't get those kind of mins
512252,muskymike,2010-10-16 03:32:00,772,"Uh Oh.... still in 1st place overall    as of Friday, October 15, 2010 10:15 PM. NHL Rank	Team	GP	W	L	OT	PTS	GF	GA	Home	Away	Last 10	Streak 1	Toronto	4	4	0	0	8	16	9	2-0-0	2-0-0	4-0-0	Won 4 2	Nashville	3	3	0	0	6	11	6	2-0-0	1-0-0	3-0-0	Won 3 3	Tampa Bay	3	3	0	0	6	12	8	1-0-0	2-0-0	3-0-0	Won 3 4	Dallas	3	3	0	0	6	13	8	1-0-0	2-0-0	3-0-0	Won 3 5	Washington	4	3	1	0	6	14	9	3-0-0	0-1-0	3-1-0	Won 3 6	Colorado	4	3	1	0	6	14	13	1-0-0	2-1-0	3-1-0	Won 2 7	Philadelphia	4	2	1	1	5	10	9	1-1-0	1-0-1	2-1-1	Lost 1 8	Detroit	4	2	1	1	5	12	11	1-0-1	1-1-0	2-1-1	Lost 1 9	Montreal	4	2	1	1	5	10	10	0-0-1	2-1-0	2-1-1	Won 1 10	Chicago	5	2	2	1	5	16	15	0-2-0	2-0-1	2-2-1	Won 1 11	St. Louis	3	2	1	0	4	10	6	2-0-0	0-1-0	2-1-0	Lost 1 12	Edmonton	3	2	1	0	4	9	6	2-0-0	0-1-0	2-1-0	Lost 1 13	Carolina	3	2	1	0	4	8	7	1-0-0	1-1-0	2-1-0	Lost 1 14	Los Angeles	3	2	1	0	4	6	5	1-0-0	1-1-0	2-1-0	Won 1 15	NY Islanders	4	1	1	2	4	13	14	1-0-1	0-1-1	1-1-2 16	Pittsburgh	5	2	3	0	4	13	13	1-3-0	1-0-0	2-3-0	Won 1 17	San Jose	2	1	0	1	3	5	5	0-0-1	1-0-0	1-0-1 18	Minnesota	3	1	1	1	3	8	8	1-1-0	0-0-1	1-1-1	Won 1 19	NY Rangers	3	1	1	1	3	13	13	0-0-1	1-1-0	1-1-1 20	Vancouver	3	1	1	1	3	6	7	1-0-1	0-1-0	1-1-1	Lost 1 21	Ottawa	4	1	2	1	3	7	12	1-1-0	0-1-1	1-2-1	Won 1 22	Buffalo	5	1	3	1	3	9	14	0-3-1	1-0-0	1-3-1	Lost 1 23	New Jersey	5	1	3	1	3	9	17	0-2-1	1-1-0	1-3-1	Lost 1 24	Boston	2	1	1	0	2	5	5	0-1-0	1-0-0	1-1-0	Won 1 25	Phoenix	2	1	1	0	2	5	5	0-1-0	1-0-0	1-1-0	Lost 1 26	Florida	3	1	2	0	2	6	5	0-0-0	1-2-0	1-2-0	Won 1 27	Atlanta	3	1	2	0	2	8	10	1-0-0	0-2-0	1-2-0	Lost 2 28	Columbus	3	1	2	0	2	7	10	0-2-0	1-0-0	1-2-0	Lost 1 29	Calgary	3	1	2	0	2	3	8	1-1-0	0-1-0	1-2-0	Lost 1 30	Anaheim	4	1	3	0	2	6	16	1-0-0	0-3-0	1-3-0	Won 1   Continue to discuss....I am not bashing on anyone, but it may be time for the Habs and Sens fans to admit the Leafs are actually playing good hockey. Instead of bringing up the same excuses about the past....Just like if either of those teams start playing well and get on a roll, any respectable Leaf's fan should show the same courtesy IMO."
512255,lookinforwalleye,2010-10-16 04:03:00,4399,"  Yes it looks like this is the year, a buddy of mine that works downtown has marked his spot on University Ave."
512257,scuro2,2010-10-16 04:15:00,904,That second period of the Leafs...wow. I'm predicting they make the playoffs this year. Can't say the same of the habs.
512270,Jer,2010-10-16 12:12:00,1426,   ...Habs fans are staking out which windows to smash and which cars to torch...
512278,ch312,2010-10-16 13:34:00,1590,the leafs always do good in the early season and then choke when the playoffs roll around.  they still suck
512289,Guest Johnny Bass,2010-10-16 15:15:00,0," Umm you have us confused with Ottawa. lol  I remember when we had that 10 game winning streak(or more) at the beginning of the season. In the Gilmour Andrechuk, Clarke era. That is the season we got robbed of our cup!!!!"
511884,Chance,2010-10-14 21:15:00,420, I suggest you leave all the bragging until your team actually WINS a cup.
511885,Raf,2010-10-14 21:21:00,3495,ahh classic symptoms of a napoleon complex.
511888,bassmaster4,2010-10-14 21:38:00,801,"oooh so impressive maybe if they actually had a cup under their belt you could say something and as for you ripping up the leafs, ottawa got spanked by them just last week"
511892,ctranter,2010-10-14 21:40:00,543,"  Not only that, the Senators looked AWFUL.  If I was from Ottawa, I wouldn't be bringing attention to my failing team."
511905,muskymatt,2010-10-14 22:00:00,2608,Actually I just get enjoyment reading the replies of leaf fans who get their feather all ruffeled when someone comments about how brutal their team is.....live by the sword die by the sword I guess.  One thing I do have to give credit for is the ability(or sickness) to stand by a team that sucks that bad...my hats off to ya. Even tho it is a sens hat...
