530762,Northern Manitoban,2003-05-10 21:05:00,195,Northern Manitoban.I live in Northern Manitoba!
530763,lobo1,2003-05-10 22:57:00,734,"lobo (mexican wolf) - mascot of the Univ of New Mexico - one of the universities I attended.The 1 got added when I couldn't remember my password somewhere and created a new one ! Too many parties in the ""land of entrapment"".steve"
530764,phishfearme,2003-05-11 03:47:00,1242,"i tried to get the ""fishfearme"" email handle at yahoo but it was already taken, so i got the ""ph"" version. bob"
530765,elbowlkmb,2003-05-11 14:08:00,7,I use elbowlkmb because I fish there every second week of June.I have every year since 1989. Grass Lake Prov. Park is a great place!
530752,Stevie B,2003-05-09 10:28:00,157,"Just wondern' what does your handle mean. What is the meaning? Just thought that I would get something going!Mine personaly doesn't mean much, just what my fishin' buddies call me.Fish ON!!"
530753,Guest,2003-05-09 19:20:00,0,an airline pilot who lives in Ohio!
530754,OHIOPILOT,2003-05-09 20:14:00,19,"....and when I am bored at work Ill punch in how long it would take to fly direct to YRL (RED LAKE) this AM just out of Houston it was gonna take 3:20, I wish I would have gone!"
530755,Kilroy,2003-05-09 22:20:00,59,"HaHa, I am a lurker more or less,thus the Kilroy. I have used that on and off for 25 years, I used to read alot of Sgt. Rock comic books. It seems like Kilroy was always there and signed his name before anybody else got there,lol.Kilroy was here.........."
530756,North Of 55,2003-05-10 04:00:00,0,I live in Northern Manitoba North of the 55th parallel!
530757,Big Tim,2003-05-10 05:56:00,63,Kinda self explanatory
530758,Alan D,2003-05-10 10:39:00,36,"First name, middle initial.Alan D"
530759,Hammerhead Herb,2003-05-10 13:00:00,259,Hammerhead --- the name of my favorite lake in NW Ontario
530760,rebelrn2001,2003-05-10 18:48:00,1563,"I used to have a Lund Rebel boat (now its a Pro-V). A guy on Green Bay used to call me ""Rebel"" on our marine radios. I am also an RN. The 2001 came from Yahoo requiring me to have a number after my 'handle' and that was in 2001."
530761,brian1785,2003-05-10 20:44:00,1534,Used to have a Yarcraft 1785 BT. Now I have an 1895 Yar but too lazy to change.
